Customer_Index,Cluster,Churn_Probability,Recommendations
107,3,0.8857,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
108,3,0.159,Promote yearly subscription plans | Recommend bundled services to increase value | Promote Online Security + Tech Support package
109,3,0.5236,Promote yearly subscription plans | Recommend bundled services to increase value | Promote Online Security + Tech Support package
110,2,0.6895,Promote yearly subscription plans | Provide personalized pricing / bundle offers
111,3,0.8581,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
112,0,0.818,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers | Recommend bundled services to increase value | Promote Online Security + Tech Support package
113,0,0.9507,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
114,0,0.9122,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
115,3,0.6737,Promote yearly subscription plans | Recommend bundled services to increase value | Promote Online Security + Tech Support package
116,3,0.8935,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
117,3,0.9365,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
118,1,0.7356,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
119,0,0.903,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
120,3,0.599,Promote yearly subscription plans | Recommend bundled services to increase value | Promote Online Security + Tech Support package
121,1,0.4274,Promote yearly subscription plans
122,0,0.8376,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
123,3,0.9545,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
124,3,0.9055,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
125,0,0.3136,Stay connected with loyalty offers
126,3,0.7503,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
127,0,0.6937,Promote yearly subscription plans | Provide personalized pricing / bundle offers
128,0,0.823,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
129,0,0.9575,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
130,3,0.8791,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
131,3,0.9333,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
132,2,0.5854,Promote yearly subscription plans | Provide personalized pricing / bundle offers
133,3,0.5988,Promote yearly subscription plans | Recommend bundled services to increase value
134,3,0.5872,Promote yearly subscription plans | Recommend bundled services to increase value | Promote Online Security + Tech Support package
135,0,0.8721,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
136,0,0.9689,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
137,0,0.8107,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
138,0,0.5175,Promote yearly subscription plans
139,1,0.6056,Promote yearly subscription plans | Provide personalized pricing / bundle offers
140,1,0.6247,Promote yearly subscription plans | Provide personalized pricing / bundle offers
141,0,0.8333,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
142,2,0.5221,Provide personalized pricing / bundle offers
143,3,0.3485,Promote yearly subscription plans | Recommend bundled services to increase value | Promote Online Security + Tech Support package
144,3,0.8092,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
145,0,0.927,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
146,0,0.9616,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
147,1,0.446,Promote yearly subscription plans
148,2,0.4824,Promote yearly subscription plans | Provide personalized pricing / bundle offers
149,3,0.7797,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
150,1,0.2465,Promote yearly subscription plans | Provide onboarding support & welcome discount
151,3,0.3265,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
152,1,0.5995,Promote yearly subscription plans | Provide personalized pricing / bundle offers
153,2,0.6501,Promote yearly subscription plans | Provide personalized pricing / bundle offers
154,2,0.7132,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
155,2,0.5513,Provide personalized pricing / bundle offers
156,0,0.905,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
157,3,0.4185,Promote yearly subscription plans | Recommend bundled services to increase value | Promote Online Security + Tech Support package
158,0,0.9658,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
159,0,0.8995,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
160,3,0.7816,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
161,0,0.9307,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
162,3,0.8289,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
163,3,0.8962,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
164,3,0.3939,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
165,3,0.1898,Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
166,3,0.7915,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
167,3,0.8615,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
168,3,0.5958,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
169,3,0.9311,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
170,0,0.59,Promote yearly subscription plans
171,3,0.9109,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
172,0,0.9491,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
173,3,0.7559,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
174,3,0.8572,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
175,3,0.8114,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
176,1,0.4944,Promote yearly subscription plans
177,3,0.5212,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
178,0,0.942,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
179,3,0.785,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
180,0,0.883,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
181,1,0.4333,Promote yearly subscription plans | Provide personalized pricing / bundle offers
182,1,0.5371,Promote yearly subscription plans | Provide personalized pricing / bundle offers
183,0,0.822,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
184,0,0.8838,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
185,0,0.6953,Promote yearly subscription plans | Provide personalized pricing / bundle offers
186,0,0.7499,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
187,3,0.9146,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
188,0,0.8967,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
189,3,0.5125,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
190,0,0.8412,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
191,0,0.6607,Provide personalized pricing / bundle offers
192,3,0.9076,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
193,3,0.7484,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
194,3,0.7783,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
195,2,0.5111,Provide personalized pricing / bundle offers
196,2,0.6802,Provide personalized pricing / bundle offers
197,0,0.8536,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
198,0,0.869,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
199,0,0.826,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
200,3,0.9306,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
201,2,0.5414,Provide personalized pricing / bundle offers
202,2,0.196,Provide personalized pricing / bundle offers
203,0,0.8927,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
204,2,0.8222,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
205,0,0.7112,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
206,0,0.9094,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
207,2,0.4005,Provide personalized pricing / bundle offers
208,2,0.4412,Provide personalized pricing / bundle offers
209,0,0.9055,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
210,3,0.7176,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
211,2,0.6579,Provide personalized pricing / bundle offers
212,3,0.1057,Recommend bundled services to increase value | Promote Online Security + Tech Support package
213,0,0.968,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
214,2,0.6454,Provide personalized pricing / bundle offers
215,3,0.7565,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
216,3,0.7314,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Recommend bundled services to increase value
217,0,0.9204,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
218,0,0.8146,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
219,0,0.8041,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
220,1,0.5756,Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
221,1,0.514,Promote yearly subscription plans
222,0,0.6262,Promote yearly subscription plans | Provide personalized pricing / bundle offers
223,0,0.7246,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
